quote,ranking,score,title
希望让人自由。,1,9.6,肖申克的救赎
风华绝代。,2,9.5,霸王别姬
怪蜀黍和小萝莉不得不说的故事。,3,9.4,这个杀手不太冷
一部美国近现代史。,4,9.4,阿甘正传
最美的谎言。,5,9.5,美丽人生
最好的宫崎骏，最好的久石让。 ,6,9.2,千与千寻
拯救一个人，就是拯救整个世界。,7,9.4,辛德勒的名单
失去的才是永恒的。 ,8,9.2,泰坦尼克号
诺兰给了我们一场无法盗取的梦。,9,9.2,盗梦空间
小瓦力，大人生。,10,9.3,机器人总动员
每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,11,9.2,海上钢琴师
英俊版憨豆，高情商版谢耳朵。,12,9.1,三傻大闹宝莱坞
永远都不能忘记你所爱的人。,13,9.2,忠犬八公的故事
天籁一般的童声，是最接近上帝的存在。 ,14,9.2,放牛班的春天
一生所爱。,15,9.2,大话西游之大圣娶亲
人人心中都有个龙猫，童年就永远不会消失。,16,9.1,龙猫
千万不要记恨你的对手，这样会让你失去理智。,17,9.2,教父
如果再也不能见到你，祝你早安，午安，晚安。,18,9.1,楚门的世界
Tomorrow is another day.,19,9.2,乱世佳人
那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,20,9.1,天堂电影院
满满温情的高雅喜剧。,21,9.1,触不可及
平民励志片。 ,22,8.9,当幸福来敲门
我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,23,9.2,熔炉
香港电影史上永不过时的杰作。,24,9.0,无间道
邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,25,9.0,搏击俱乐部
